chart_id,difficulty,source_file,display_bpm,ebpm,total_stream_length,max_stream_length,break_count,stream_break_ratio,average_nps,peak_ebpm
53f96695,12,Stamina RPG 8/[12] Adventure/Adventure.sm,120.0,59.4,281,16,20,1.673,2.46,46.9
28de4c76,12,Stamina RPG 9/[12] Colors of Love/Colors of Love.sm,120.0,180.0,1,1,0,0.0,6.93,
52c1535d,12,"Stamina RPG 9/[12] I'm Gone, I'm Going/rip rock band.sm",155.0,155.0,64,16,6,2.207,7.74,125.9
bebbeb5b,12,Stamina RPG 9/[12] Mortal Kombat/song.sm,138.0,138.0,61,26,1,2.033,7.3,69.0
88dd408b,12,Stamina RPG 9/[12] Start Taking Note/takingnote.sm,145.0,145.0,81,15,5,3.857,8.2,108.8
adafa154,12,Stamina RPG 9/[12] Time Traveler/Time Traveler.sm,160.0,160.0,43,16,3,1.536,7.32,120.0
c49cdbc2,13,Stamina RPG 9/[13] After snow -Shiroki Eien- (Lemon beads trance bootleg)/After snow -Shiroki Eien- (Lemon beads trance bootleg).sm,135.0,135.0,188,55,4,9.4,8.1,126.6
9da21c6f,13,Stamina RPG 9/[13] Looking For The Light/song.sm,174.0,174.0,34,32,1,17.0,5.27,
cdd19d0c,13,Stamina RPG 9/[13] Minimal Love/minimallove.sm,155.0,155.0,100,30,4,1.449,7.53,145.3
aaf41a89,13,Stamina RPG 9/[13] Push The Fader/Push The Fader.sm,140.0,140.0,135,55,1,16.875,8.5,
c182f91e,13,Stamina RPG 9/[13] Slemyatsya Pacany/Little Big & Ruki Vverkh - Slemyatsya Pacany.sm,161.0,161.0,80,31,4,2.286,7.5,80.5
d2c7451c,13,Stamina RPG 8/[13] Subag 130/Subag_130.sm,130.0,138.1,413,27,23,2.065,6.98,121.9
ac87e444,14,Stamina RPG 9/[14] Gold Dust (Fox Stevenson Remix)/DJ Fresh - Gold Dust (Fox Stevenson Remix).sm,174.0,174.0,99,23,3,2.912,8.22,
96955bfd,14,Stamina RPG 9/[14] Inferno/Inferno.sm,185.0,185.0,74,13,5,0.925,7.95,161.9
30a61d83,14,"Stamina RPG 9/[14] Let_s Go, Come On/letsgo.sm",149.0,149.0,158,38,6,7.182,9.09,139.7
30b0d7c5,14,Stamina RPG 8 - Unlocks/[14] Muted Messenger/mutedmessenger.sm,138.0,138.0,645,211,5,8.269,8.28,129.4
77a7fb70,14,Stamina RPG 9/[14] Nothing But Theory/nothingbuttheory.sm,160.0,160.0,119,37,4,5.95,9.35,130.0
e497c838,14,Stamina RPG 9/[14] Virtuous suicide (EXTENDED Ver)/Virtuous suicide (EXTENDED Ver.).sm,157.0,157.0,157,18,4,3.271,8.95,137.4
68806d66,15,Stamina RPG 9/[15] Al Suhail al Wazn/Al Suhail al Wazn.sm,166.0,166.0,150,52,1,16.667,10.01,114.1
d4c7b847,15,Stamina RPG 9/[15] Clear Eyes Clear Skies/Clear Eyes Clear Skies.sm,174.0,174.0,126,38,3,15.75,10.46,163.1
e8aad3a8,14,Stamina RPG 8 - Unlocks/[14] Frederhythm/Frederhythm.sm,150.0,150.0,509,39,38,1.811,8.19,140.6
279fcf19,15,Stamina RPG 9/[15] INNOVATiONARY X-PLOSiON Full-AXEL (Yooh remix)/INNOVATiONARY X-PLOSION -Full AXEL-.ogg.sm,180.0,180.0,156,31,7,1.608,9.52,168.8
36925442,15,Stamina RPG 9/[15] SLOWEST ANIMU MUSIC/SLOWEST ANIMU MUSIC.sm,150.0,150.0,364,82,3,26.0,9.53,131.2
48d910a8,15,Stamina RPG 9/[15] Weigh Anchor Vesperbell Cover/Weigh Anchor - AKINO from bless4 ( Cover ) - VESPERBELL.sm,195.0,195.0,121,23,7,1.592,9.64,182.8
def9551a,16,Stamina RPG 9/[16] Chichovite/Billx - Chichovite.sm,200.0,200.0,95,16,8,3.958,10.47,187.5
720fa3ba,16,Stamina RPG 8/[16] Enter the Digiverse/Enter the Digiverse.sm,155.0,155.0,796,94,16,5.272,9.02,135.6
556f0a00,16,Stamina RPG 9/[16] Eurobeat Is Fantastic 2nd Stage (Part 2)/eurojej2 P2.sm,163.0,183.4,393,31,10,11.909,10.11,152.8
fdfaa115,16,Stamina RPG 9/[16] Loli Bomb/Loli Bomb.sm,195.0,195.0,135,64,5,3.553,10.91,170.6
7f37fb19,16,Stamina RPG 9/[16] Mezame (Nomic Bootleg)/Mezame (Nomic Bootleg).sm,170.0,170.0,193,99,2,32.167,10.68,
27160b14,16,Stamina RPG 9/[16] Vs. Lancer/song.sm,181.0,181.0,152,152,0,0.0,11.63,
5047045e,17,Stamina RPG 9/[17] Bokura no Freedom DiVE/Bokura no Freedom DiVE.sm,204.0,204.0,166,56,4,2.441,10.42,165.7
b3c10942,17,Stamina RPG 9/[17] Run Rabbit Junk/01_-_Run_Rabbit_Junk.sm,195.0,194.9,181,118,1,5.485,10.96,121.8
a259415d,17,Stamina RPG 9/[17] SLOWER ANIMU MUSIC/SLOWER ANIMU MUSIC.sm,173.0,173.0,417,180,3,10.425,10.36,108.1
cec4504d,17,Stamina RPG 9/[17] StaRt(katagiri Remix)/StaRt(katagiri Remix).sm,210.0,210.0,122,48,6,3.128,11.51,183.8
4d8c2771,17,Stamina RPG 9/[17] Trail of Dust/Trail of Dust.sm,184.0,184.0,262,88,3,10.917,10.82,
18eccd31,17,Stamina RPG 8 - Unlocks/[17] drum&based/drumnbased.sm,174.0,174.0,630,100,13,3.962,9.41,163.1
5c989b14,18,Stamina RPG 9/[18] Chiron/chiron.sm,210.0,210.0,154,89,3,2.962,10.17,157.5
dbd54813,18,Stamina RPG 9/[18] Fractal Glitch Works (Part 3)/Fractal Glitch Works (Part 3).sm,180.0,180.0,525,114,2,131.25,11.77,146.2
a1f62f36,18,Stamina RPG 9/[18] Freezing Rose/05 - Freezing Rose.sm,190.0,190.0,243,104,0,0.0,11.07,
6564e036,18,Stamina RPG 9/[18] God Of War (The Speed Freak's Remix)/Maissouille - God Of War (The Speed Freak's Remix).sm,205.0,205.0,226,48,7,3.424,10.2,153.8
5ac65316,18,Stamina RPG 9/[18] In The Next Life/In The Next Life.sm,226.0,226.0,93,48,1,2.735,8.24,183.6
d32c6441,18,Stamina RPG 8 - Unlocks/[18] Metrik Essential Mix FB 180/Metrik Essential Mix fb180.sm,180.0,180.0,745,174,6,62.083,10.99,168.8
eaa5740e,19,Stamina RPG 9/[19] Get Clean/hi starry this one is for you.sm,230.0,230.0,123,32,5,2.016,10.97,186.9
b6b57ef6,19,Stamina RPG 9/[19] Hope & Fate/hopeandfate.sm,205.0,205.0,316,128,3,15.048,12.39,166.6
7239d476,19,Stamina RPG 9/[19] Intergalactic (Part 2)/intergalactic (Part 2).sm,190.0,201.9,549,138,1,45.75,12.14,
284ba461,19,Stamina RPG 9/[19] Jackwagon/Jackwagon.sm,210.0,210.0,209,176,1,13.062,12.39,157.5
60c6cdea,19,Stamina RPG 8/[19] Observation of the Supernatural/observation.sm,190.0,190.0,810,47,25,5.192,10.86,166.2
baa60d13,19,Stamina RPG 9/[19] finorza/song.sm,225.0,225.0,157,36,13,2.415,10.17,196.9
08cd6d60,20,Stamina RPG 9/[20] City Of Ice/City Of Ice.sm,222.0,222.0,219,65,4,27.375,14.15,166.5
1f896ceb,20,Stamina RPG 9/[20] Fever Dream/Fever Dream.sm,205.0,205.0,601,96,9,13.977,12.55,166.6
2554afef,20,Stamina RPG 9/[20] Flash in the Night/Flash in the Night.sm,237.0,237.0,84,84,0,0.0,14.76,
f74ddaac,20,Stamina RPG 8/[20] High Gain Street/High Gain Street.sm,200.0,200.0,1104,161,27,4.198,11.31,175.0
9bb9eb1d,20,Stamina RPG 9/[20] Suspyre/Suspyre.sm,216.0,216.0,2,1,0,0.0,8.33,
26ccbe08,20,Stamina RPG 9/[20] Wrapped Around Your Finger/wrappedaroundyourfinger.sm,240.0,240.0,106,48,4,1.963,10.08,195.0
6a72ebcc,21,Stamina RPG 9/[21] HEY FUCKER/oops.sm,250.0,250.0,85,31,2,2.024,12.21,187.5
169b37c5,21,Stamina RPG 9/[21] Infinita Memoria/Infinita Memoria.sm,218.0,218.0,340,136,0,0.0,14.45,
48b1352e,21,Stamina RPG 9/[21] MOYA/moya.sm,246.0,246.0,148,30,6,3.7,12.18,123.0
5a6bdcbf,21,Stamina RPG 9/[21] Old Nothing FB 235/Old Nothing.sm,235.0,235.0,177,52,8,10.412,13.59,190.9
a46d56f9,21,Stamina RPG 9/[21] Rohododendron/05 Noah  - Rohododendron.sm,226.0,226.0,220,220,0,0.0,14.96,
6f8097c4,21,Stamina RPG 8/[21] The Mixtape Album (Continous Mix)/DolphinContinousMix.sm,212.0,212.0,832,47,34,3.263,10.97,198.8
a385c33c,22,Stamina RPG 9/[22] Altered Consciousness/Altered Consciousness.sm,230.0,230.0,298,95,1,9.03,13.89,158.1
f34348a6,22,Stamina RPG 8 - Unlocks/[22] Classic dj TAKA Trance Medley/djtaka.sm,225.0,225.0,759,132,10,2.663,11.54,187.5
750dc6af,22,Stamina RPG 9/[22] Le Perv/Carpenter Brut - Le Perv.sm,240.0,240.0,220,47,7,6.875,14.65,120.0
613171b1,22,Stamina RPG 9/[22] No More Sorrow/08 No More Sorrow.sm,265.0,265.2,101,39,6,1.122,8.92,149.2
b6244498,22,Stamina RPG 9/[22] Peyotech Madness/Peyotech Madness.sm,227.0,283.8,1,1,0,0.0,13.16,
e092f788,22,Stamina RPG 9/[22] You're Gonna Go Far Kid/gofar.sm,252.0,252.3,130,34,4,3.611,12.82,
4527895d,23,Stamina RPG 9/[23] Aeromantie/Aeromantie.sm,240.0,240.0,320,63,6,11.034,12.56,180.0
bf68c0dd,23,Stamina RPG 9/[23] Desire FB 237/DesireFB.sm,237.0,237.0,405,131,2,50.625,15.04,
3b20914e,23,Stamina RPG 9/[23] Heaven's vengeance/Heaven's vengeance.sm,270.0,270.0,90,39,3,1.765,13.82,236.2
d559df3b,23,Stamina RPG 9/[23] In Tango/In Tango.sm,264.0,264.0,139,31,4,2.356,12.34,198.0
278a432c,23,Stamina RPG 9/[23] Oil Ocean Zone/Oil Ocean Zone Mix.sm,250.0,250.0,184,56,3,13.143,14.42,125.0
ee472afd,23,Stamina RPG 8 - Unlocks/[23] Requiem Stamina/requiem.sm,234.0,234.0,790,84,28,2.582,12.25,204.8
72f1cf45,24,Stamina RPG 9/[24] Mr Simple/mrsimple.sm,256.0,256.0,230,112,3,16.429,15.77,
c8f0d4d5,24,Stamina RPG 8 - Unlocks/[24] Opasnyje Jadjernaja/Opasnyje_Jadjernaja.sm,240.0,240.0,1115,70,35,2.304,12.29,225.0
eb08fa69,24,Stamina RPG 9/[24] Rainbow Tylenol/Rainbow Tylenol.sm,270.0,270.0,92,32,3,4.182,14.84,
8c1d35e5,24,Stamina RPG 9/[24] Russian Roulette/russianroulette.sm,260.0,260.0,177,30,5,5.71,14.31,227.5
c7f42c61,24,Stamina RPG 9/[24] Satanic Static/SatanicStatic.sm,240.0,240.0,614,79,2,30.7,13.78,120.0
5f0e0fc7,24,Stamina RPG 9/[24] When I'm Alone/whenimalone.sm,280.0,280.0,113,32,5,1.823,11.51,227.5
89b8408e,24,Stamina RPG 8 - Unlocks/[24] 92 Explorer (Hard)/92explorer.sm,292.0,292.0,95,32,2,0.841,9.76,
84b04c22,24,Stamina RPG 8 - Unlocks/[24] MAX 300 (Hard)/MAX 300.sm,300.0,302.5,50,14,4,1.429,13.1,264.7
e9b4c90f,25,Stamina RPG 9/[25] Break Of Day/Break Of Day.sm,256.0,304.0,359,47,1,179.5,16.32,176.0
e47b35d0,25,Stamina RPG 9/[25] Condemnation Wings II (2022 Rebuild)/Condemnation Wings II.sm,264.0,264.0,280,60,4,4.0,14.48,198.0
7651ac10,25,Stamina RPG 6 - Unlocks/[25] Dienos Advento/dienos.sm,280.0,280.0,169,34,9,3.018,14.69,245.0
391a7e87,25,Stamina RPG 9/[25] Jam & Marmalade/Jam & Marmalade.sm,290.0,290.0,75,23,1,37.5,17.63,
e25f4823,25,Stamina RPG 9/[25] Not In Love/Not In Love (feat. Robert Smith).sm,272.0,272.0,160,64,2,3.333,12.63,
cd8ea21d,25,Stamina RPG 8 - Unlocks/[25] This Ain't A Scene (Hard)/Scene.sm,300.0,300.0,57,27,2,1.357,10.4,100.0
581c1551,25,Stamina RPG 8 - Unlocks/[25] Xlasher (Hard) FP 310/Xlasher FP 310.sm,310.0,310.0,32,32,0,0.0,13.46,
b4f38fde,25,Stamina RPG 9/[25] yumeHolic desu ga/yumeHolic desu ga.sm,283.0,282.7,102,22,7,1.325,12.35,229.7
a9ab63b2,26,Stamina RPG 9/[26] Blend W/Blend W.sm,304.0,304.0,90,51,3,6.923,16.7,
22d7c487,26,Stamina RPG 9/[26] Chaos Angel Zone Act 3/Chaos Angel Zone Act 3.sm,273.0,273.0,188,94,2,7.833,16.45,91.0
6c883eaa,26,Stamina RPG 8 - Unlocks/[26] Little Red Riding Hood FB 310/Little Red Riding Hood FB 310.sm,310.0,310.0,78,32,3,3.9,12.95,155.0
dc97cf41,26,Stamina RPG 9/[26] Pulse of Sympathy FB 266/Pulse of Sympathy FB 266.sm,266.0,266.0,270,127,0,0.0,17.49,
8c1f4319,26,Stamina RPG 5 - Unlocks/[26] STRONG 280/STRONG 280.sm,280.0,280.0,222,48,5,3.895,15.92,210.0
bd140638,26,Stamina RPG 9/[26] Tower Of Glory/Tower Of Glory.sm,280.0,280.0,160,160,0,0.0,18.47,
1adb4f21,26,Stamina RPG 9/[26] Unico/unico.sm,298.0,298.0,80,64,1,2.5,13.51,
07776e6c,26,Stamina RPG 8 - Unlocks/[26] Wanna Do FB 320/Wanna Do FB 320.sm,320.0,320.0,64,32,2,1.185,11.96,160.0
fbb9dbf4,27,Stamina RPG 9/[27] Digital Onslaught/digitalonslaught.sm,284.0,284.0,232,144,1,14.5,16.87,142.0
4a05c74e,27,Stamina RPG 8 - Unlocks/[27] EGOISM 440/EGOISM 440.sm,330.0,330.0,70,24,4,2.059,14.53,137.5
32a16170,27,Stamina RPG 9/[27] Figure.09/08 Figure.09.sm,294.0,294.1,168,75,5,3.5,14.49,98.0
8fa4da9a,27,Stamina RPG 8 - Unlocks/[27] Get Your Wish FB 324/Get Your Wish.sm,324.0,324.0,78,24,5,1.529,10.29,310.5
ea02c98c,27,Stamina RPG 9/[27] I Was Made For Rock N Roll/iwmfrnr.sm,304.0,304.0,206,30,11,3.377,15.23,247.0
d4bca3b7,27,Stamina RPG 6 - Unlocks/[27] Rebirth the end (Part II - Starcluster)/starcluster (part 1).sm,280.0,280.0,234,233,0,0.0,16.64,
46791f7a,27,Stamina RPG 9/[27] SUPERNOVA/supernova.sm,318.0,318.0,102,28,1,2.0,14.33,119.2
8a69345a,27,Stamina RPG 9/[27] boku no friend/#boku_no_friend.sm,270.0,270.0,527,139,2,35.133,17.47,101.2
5d604c53,28,Stamina RPG 8 - Unlocks/[28] 1nput This 2 Y0ur Spine/1nput This 2 Y0ur Spine.sm,320.0,320.0,115,31,4,9.583,17.91,260.0
ffe3b97a,28,Stamina RPG 9/[28] Easier to Run/06 Easier to Run.sm,315.0,315.1,172,54,2,3.185,14.15,
bb3c2a97,28,Stamina RPG 9/[28] FRAGMENT/fragment.sm,284.0,284.0,336,336,0,0.0,18.66,
be615588,28,Stamina RPG 8 - Unlocks/[28] Final Destination/final.sm,326.0,325.5,84,48,2,3.111,13.79,108.5
4fa4ba41,28,Stamina RPG 9/[28] Fortress Of Strangers/141. Fortress Of Strangers.sm,290.0,290.0,192,192,0,0.0,17.85,
102ff7fd,28,Stamina RPG 8 - Unlocks/[28] I Write Sins Not Tragedies/I Write Sins Not Tragedies.sm,340.0,340.0,79,32,2,2.324,11.83,170.0
74ac31c2,28,Stamina RPG 8 - Unlocks/[28] ILY/Panda Eyes - ILY.sm,330.0,330.0,67,24,1,22.333,12.19,
b0ce2cb7,28,Stamina RPG 7 - Unlocks/[28] Phantasmal Blaze/Phantasmal Blaze.sm,300.0,300.0,228,112,4,5.7,16.94,
68fc5c1d,28,Stamina RPG 6 - Unlocks/[28] Tinsel Time FB 295/Tinsel Time FB 295.sm,295.0,295.0,232,108,7,5.8,15.55,147.5
457099f3,29,Stamina RPG 8 - Unlocks/[29] City At Speed/City At Speed.sm,352.0,352.0,62,31,1,1.879,13.13,198.0
b4857928,29,Stamina RPG 9/[29] Clubbed to Death/Clubbed to Death.sm,306.0,306.0,240,240,0,0.0,19.53,
73ca3fee,29,Stamina RPG 9/[29] Contact With You (Synthwave Arrangement)/Contact With You.sm,316.0,316.0,287,112,3,8.969,16.83,
082c6de7,29,Stamina RPG 9/[29] Fighting For Freedom x Fire Fire/Fighting For Freedom x Fire Fire.sm,292.0,292.0,584,96,12,24.333,18.13,237.3
2ed7e101,29,Stamina RPG 8 - Unlocks/[29] Nai Nai Nightcore/nainainightcore.sm,330.0,330.0,149,34,5,4.257,17.38,316.3
88dd78fd,29,Stamina RPG 8 - Unlocks/[29] Neon Love/Neon Love.sm,336.0,336.0,97,47,2,2.109,14.94,168.0
2c77693e,29,Stamina RPG 9/[29] Playing With Fire/Playing With Fire.sm,320.0,320.0,204,31,2,11.333,18.15,
f2cad096,29,Stamina RPG 8 - Unlocks/[29] Talkin'/Talkin.sm,345.0,345.0,98,45,4,1.256,13.6,
a66e980b,29,Stamina RPG 9/[29] Xeon/xeon.sm,320.0,320.0,177,45,4,5.057,16.7,180.0
3eef0430,30,Stamina RPG 8 - Unlocks/[30] Abyss (sharp stepp rmx) FB 356/Abyss rmx FB 356.sm,356.0,356.0,98,15,6,2.333,16.53,200.2
5a3062d5,30,East Coast Stamina 14 - Upper/[30] Beast and the Harlot FB 314/Beast and the Harlot FB 314.sm,314.0,314.0,336,96,6,10.5,19.04,176.6
a2d16fff,30,Stamina RPG 8 - Unlocks/[30] Enraptured Soulz/Enraptured Soulz.sm,345.0,345.0,92,46,3,2.556,16.44,172.5
031a4029,30,East Coast Stamina 13 - Upper Raw Output/[30] Exercises in Futility VI FB 308/Exercises in Futility VI FB 308.sm,308.0,308.0,437,68,5,24.278,18.97,154.0
02ba2c93,30,Stamina RPG 9/[30] IRON BREAKER/050. Iron Breaker.sm,320.0,320.0,256,160,1,128.0,20.62,160.0
d2784345,30,Stamina RPG 8 - Unlocks/[30] K8107/K8107.sm,360.0,360.0,79,40,1,3.038,14.47,
d4ad7e32,30,Stamina RPG 9/[30] Max Forever/Max Forever FB 310.sm,310.0,310.0,355,144,3,11.833,18.26,155.0
2e4f654c,30,Stamina RPG 9/[30] Mystic Oriental Dream FB 305/Mystic Oriental Dream FB 305.sm,305.0,305.0,400,176,3,10.0,17.39,152.5
d975f20b,30,East Coast Stamina 14 - Upper/[30] POTG P3 FB 300/POTG P3 FB 300.sm,300.0,300.0,508,126,5,6.684,17.37,243.8
e89a45ad,30,Stamina RPG 8 - Unlocks/[30] Return to Zero/Return to Zero.sm,330.0,330.0,210,38,6,3.0,15.95,165.0
7b2a54a6,30,East Coast Stamina 14 - Upper/[30] Trails Of Cold Stream SC Part 3/Trails Of Cold Stream SC P3.sm,300.0,300.0,611,180,8,9.4,18.28,206.2
9f0ae6a0,30,Stamina RPG 8 - Unlocks/[30] flash back 90s/fb90s.sm,318.0,318.0,297,96,10,12.375,19.17,218.6
7d0f3897,31,Stamina RPG 8 - Unlocks/[31] Battle (Shin Megami Tensei)/Battle (Shin Megami Tensei).sm,335.0,335.0,140,70,3,3.784,18.59,272.2
a35b355e,31,Stamina RPG 8 - Unlocks/[31] KUNOICHI Pi Pi Pi/KUNOICHI Pi Pi Pi (with guitar).sm,340.0,340.0,212,32,4,2.944,15.58,
c9946099,31,Stamina RPG 8 - Unlocks/[31] Psychedelinger 2/psych2.sm,366.0,366.0,90,40,3,1.636,16.64,122.0
8e92a5de,31,Stamina RPG 8 - Unlocks/[31] The Unnatural (Medium)/The Unnatural.sm,350.0,280.0,122,80,1,5.545,14.55,
8ce50d66,31,Stamina RPG 8 - Unlocks/[31] glacia/glacia.sm,372.0,372.0,79,32,2,1.519,12.61,279.0
0f98317c,32,Stamina RPG 8 - Unlocks/[32] 18 Mne Uzhe (Haiducii Remix)/18mne.sm,380.0,380.0,80,32,3,1.053,14.26,190.0
525baa69,32,Stamina RPG 8 - Unlocks/[32] Battle - Strangers of Paradise/Naoshi Mizuta -  Battle - Strangers of Paradise.sm,340.0,340.0,204,204,0,0.0,19.44,
75604a25,32,Stamina RPG 8 - Unlocks/[32] Melon Lover/Melon Lover.sm,360.0,360.0,128,48,0,0.0,22.29,
50b744bf,32,Stamina RPG 8 - Unlocks/[32] STEEL TRANSONIC/steel transonic.sm,354.0,354.0,241,75,5,3.652,17.69,309.8
8461cd25,32,Stamina RPG 8 - Unlocks/[32] Spiral of Erebos/Spiral of Erebos.sm,336.0,224.0,246,144,1,82.0,13.98,
d2a4b6fa,32,Stamina RPG 8 - Unlocks/[32] The Skies Are Not Enough (Hard)/The Skies Are Not Enough.sm,375.0,375.0,98,48,3,1.441,16.73,187.5
8dc62625,33,Stamina RPG 8 - Unlocks/[33] Avid (Ayatori DnB Edit)/Avid (Ayatori DnB Edit).sm,354.0,354.0,304,144,2,6.333,18.92,177.0
4d5b1f26,33,Stamina RPG 8 - Unlocks/[33] Candy FP 370/Candy FP 370.sm,370.0,370.0,132,46,5,2.809,18.79,185.0
ad2d76b1,33,Stamina RPG 8 - Unlocks/[33] Goodnight/Goodnight.sm,380.0,380.2,110,30,6,2.75,16.76,237.6
d3ffeba1,33,Stamina RPG 8 - Unlocks/[33] Gravity Blast/gravityblast.sm,360.0,360.1,152,78,6,4.471,20.21,180.0
4299786a,33,Stamina RPG 8 - Unlocks/[33] The Ordeal Becomes Great/The Ordeal Becomes Great.sm,344.0,343.9,280,63,9,6.364,19.83,300.9
406ebb5a,33,Stamina RPG 8 - Unlocks/[33] Under Attachyon (Hard)/Under Attachyon.sm,398.0,397.5,66,24,6,0.776,14.22,364.4
710418ed,34,Stamina RPG 8 - Unlocks/[34] Desert After Tears/Desert After Tears.sm,372.0,248.0,153,153,0,0.0,14.89,
aabb9b02,34,Stamina RPG 8 - Unlocks/[34] Little Nappy/Little Nappy.sm,400.0,400.0,93,47,1,2.735,18.28,
18ac2dc1,34,Stamina RPG 8 - Unlocks/[34] Super Luminal/Super Luminal.sm,360.0,360.0,209,110,2,52.25,21.93,
2d42ab48,34,Stamina RPG 8 - Unlocks/[34] Venus/05 Tatsh+RayZY - Venus.sm,390.0,390.0,136,40,4,6.182,21.7,219.4
a3e14bd3,34,Stamina RPG 8 - Unlocks/[34] Yamada Stream/Yamada Stream.sm,383.0,382.5,140,48,2,6.087,21.46,127.5
22b87609,35,Stamina RPG 8 - Unlocks/[35] Golden Sphinx FB 410/Golden Sphinx FB 410.sm,410.0,410.0,92,47,1,2.14,17.44,205.0
8ae2ade1,35,Stamina RPG 8 - Unlocks/[35] Monolith FB 396/Monolith FB 396.sm,396.0,396.0,134,46,3,6.091,21.33,321.8
42e7ea4c,35,Stamina RPG 8 - Unlocks/[35] Resist The Demise/Resist The Demise.sm,375.0,250.0,254,103,3,7.056,13.06,156.3
d6a63ac0,35,Stamina RPG 8 - Unlocks/[35] The Rapids/The Rapids.sm,400.0,400.0,119,44,4,4.577,21.05,325.0
cc2076fd,35,Stamina RPG 8 - Unlocks/[35] Towards Manarsa/towardsmanarsa.sm,380.0,380.0,176,46,5,12.571,21.74,190.0
4595678a,36,East Coast Stamina 13 - Speed/[36] A Kidney Stone/a kidney stone cut.sm,420.0,420.0,94,48,2,2.765,15.4,341.2
280137bf,36,Stamina RPG 8 - Unlocks/[36] Crazy (Hard)/Crazy.sm,405.0,270.0,146,96,2,4.424,14.86,135.0
94c15e3b,36,Stamina RPG 8 - Unlocks/[36] Crimson Fighter/Crimson Fighter.sm,396.0,264.0,204,132,1,25.5,16.49,148.5
45999910,36,Stamina RPG 8 - Unlocks/[36] Hawkeye/Hawkeye.sm,375.0,375.1,332,332,0,0.0,24.37,
6acd901b,36,Stamina RPG 8 - Unlocks/[36] Innumerable Eyes/Innumerable eyes.sm,380.0,380.0,359,256,3,11.219,22.84,190.0
3e8b89bd,36,Stamina RPG 8 - Unlocks/[36] LegenD/LegenD.sm,412.0,410.0,144,61,8,4.5,20.83,384.4
b23ff8fb,36,Stamina RPG 8 - Unlocks/[36] Palace of Destruction/Palace of Destruction.sm,420.0,420.0,124,48,7,1.879,16.53,262.5
d26337a9,37,Stamina RPG 8 - Unlocks/[37] Breaking the Habit/breakingthehabit.sm,400.0,400.1,224,120,4,4.0,20.21,
17c1fb47,37,Stamina RPG 8 - Unlocks/[37] Digital Kiss/Digital Kiss.sm,432.0,432.0,96,48,1,1.6,19.03,
e502b4ef,37,Stamina RPG 8 - Unlocks/[37] Ergosphere/Ergosphere.sm,414.0,414.0,171,103,2,14.25,23.66,345.0
d2f9d60a,37,Stamina RPG 8 - Unlocks/[37] Fuuga/Fuuga.sm,390.0,390.1,331,235,2,15.762,23.96,243.8
0956ade6,37,Stamina RPG 8 - Unlocks/[37] Redshift Galaxy/Redshift Galaxy.sm,383.0,255.0,567,125,7,11.118,16.27,223.1
2f9e5e85,37,Stamina RPG 8 - Unlocks/[37] Subboss Theme/Subboss Theme.sm,420.0,420.2,134,47,1,13.4,24.03,367.7
b6a188e4,37,East Coast Stamina 13 - Speed/[37] Vermilion FB 438/Vermilion.sm,438.0,438.0,69,23,4,0.896,15.83,301.1
eed219a8,38,Stamina RPG 8 - Unlocks/[38] Beyond the Power/Beyond the Power.sm,435.0,435.0,158,24,6,4.514,20.52,271.9
d8013318,38,Stamina RPG 8 - Unlocks/[38] Blue Emotion/Blue Emotion.sm,420.0,420.0,161,86,1,13.417,22.31,
c27763ca,38,Stamina RPG 8 - Unlocks/[38] Image Material/Image Material.sm,390.0,390.0,471,196,2,7.721,22.74,243.8
d677c58d,38,East Coast Stamina 14 - Speed/[38] Mission Complete/Mission Complete.sm,390.0,390.0,435,320,2,12.083,24.3,365.6
639b6981,38,Stamina RPG 8 - Unlocks/[38] Panorama/Panorama (Arrange Ver).sm,400.0,400.0,304,304,0,0.0,26.43,
4194bfc7,38,Stamina RPG 8 - Unlocks/[38] Secret Forest/Secret Forest.sm,414.0,414.0,249,120,2,4.882,21.58,
a1903643,38,Stamina RPG 8 - Unlocks/[38] werewolf howls/werewolf.sm,444.0,444.0,98,32,4,1.719,15.95,360.7
f838c89b,39,Stamina RPG 8 - Unlocks/[39] Desperation FB 410/Desperation FB 410.sm,410.0,410.0,272,272,0,0.0,27.09,
21aa59f4,39,Stamina RPG 8 - Unlocks/[39] Huge Game Table/Huge Game Table (Ver-2).sm,402.0,268.1,384,384,0,0.0,16.24,
b82aab3b,39,Stamina RPG 8 - Unlocks/[39] Infiltration/Infiltration.sm,450.0,300.0,84,21,3,14.0,16.31,
e199a96c,39,Stamina RPG 8 - Unlocks/[39] Maggie's Quest/Maggie's Quest.sm,420.0,420.0,192,192,0,0.0,25.35,
5fa285b0,39,Stamina RPG 8 - Unlocks/[39] NB Rangers Returns/NB Rangers Returns.sm,435.0,435.0,162,78,2,12.462,23.61,217.5
51e71c5e,39,Stamina RPG 8 - Unlocks/[39] TRICKL4SH 220/TRICKL4SH 220.sm,440.0,440.0,123,46,6,3.727,20.82,357.5
d0fb4a32,40,Stamina RPG 8 - Unlocks/[40] Almost There/Almost There.sm,458.0,457.5,108,60,1,2.118,18.61,
7dbfe6df,40,Stamina RPG 8 - Unlocks/[40] Oh Delia/Oh Delia.sm,460.0,460.3,80,48,1,1.25,16.77,
2b50c6c5,40,Stamina RPG 8 - Unlocks/[40] Restless Destroyer/Restless Destroyer.sm,414.0,414.0,384,384,0,0.0,27.32,
